               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.016868,           0.0087722,                   0,                   1,             0.99624,               0.995,             0.84629,           0.0049059,            0.005654,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017557,            0.009039,                   0,             0.99557,             0.99688,               0.995,             0.79191,           0.0068281,           0.0059413,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021765,           0.0089573,                   0,             0.99944,                   1,               0.995,             0.83794,            0.004937,           0.0051324,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016411,           0.0087099,                   0,             0.99976,             0.99688,               0.995,             0.75795,           0.0073879,           0.0042049,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018389,           0.0088027,                   0,             0.99975,                   1,               0.995,             0.81777,           0.0053576,           0.0044051,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020291,           0.0089084,                   0,             0.99974,                   1,               0.995,             0.87877,           0.0042866,           0.0049401,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.015335,           0.0084984,                   0,             0.99973,                   1,               0.995,             0.86786,           0.0045049,           0.0050863,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.019908,           0.0083649,                   0,                   1,                   1,               0.995,             0.87692,           0.0048185,           0.0062968,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019227,           0.0084115,                   0,              0.9989,                   1,               0.995,             0.82514,           0.0053067,           0.0055835,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.018169,           0.0087324,                   0,             0.99989,                   1,               0.995,             0.82486,           0.0058519,           0.0043858,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.016201,           0.0085441,                   0,                   1,             0.97087,             0.99451,             0.82594,           0.0053651,           0.0051766,                   0,            0.005248,            0.005248,            0.005248
